wall_clock,board_ms,seq,board_drops,pc_gaps,board_bad,board_miss,board_dspmax_us,srv_bad,free_heap,marker,event
17:20:31,1047875,0,56359,0,0,0,0,0,174884,0,
17:20:32,1048877,0,56359,56359,0,0,0,0,175132,0,
17:20:33,1049879,0,56359,56359,0,0,0,0,175132,0,
17:20:34,1050881,0,56359,56359,0,0,0,0,176716,0,
17:20:35,1051883,0,56359,56359,0,0,0,0,167400,0,
17:20:36,1052885,0,56359,56359,0,0,0,0,175132,0,
17:20:37,1053886,0,56359,56359,0,0,0,0,175132,0,
17:20:38,1054887,0,56359,56359,0,0,0,0,174784,0,
17:20:39,1055890,0,56359,56359,0,0,0,0,163188,0,
17:20:40,1056892,0,56359,56359,0,0,0,0,175132,0,
17:20:41,1057894,0,56359,56359,0,0,0,0,174784,0,
17:20:42,1058896,0,56359,56359,0,0,0,0,175132,0,
17:20:43,1059897,0,56359,56359,0,0,0,0,175132,0,
17:20:44,1060898,0,56359,56359,0,0,0,0,168984,0,
17:20:45,1061900,0,56359,56359,0,0,0,0,176716,0,
17:20:46,1062901,0,56359,56359,0,0,0,0,173548,0,
17:20:47,1063904,0,56359,56359,0,0,0,0,175132,0,
17:20:48,1064905,0,56359,56359,0,0,0,0,175132,0,
17:20:49,1065906,0,56359,56359,0,0,0,0,176716,0,
17:20:50,1066908,0,56359,56359,0,0,0,0,175132,0,
17:20:51,1067910,0,56359,56359,0,0,0,0,167400,0,
17:20:52,1068912,0,56359,56359,0,0,0,0,175132,0,
17:20:53,1069913,0,56359,56359,0,0,0,0,175132,0,
17:20:54,1070915,0,56359,56359,0,0,0,0,176720,0,
17:20:55,1071918,0,56359,56359,0,0,0,0,175128,0,
17:20:56,1072921,0,56359,56359,0,0,0,0,174784,0,
17:20:57,1073923,0,56359,56359,0,0,0,0,173548,0,
17:20:58,1074926,0,56359,56359,0,0,0,0,173544,0,
17:20:59,1075928,0,56359,56359,0,0,0,0,173548,0,
17:21:00,1076929,0,56359,56359,0,0,0,0,175132,0,
17:21:01,1077931,0,56359,56359,0,0,0,0,175132,0,
17:21:02,1078932,0,56359,56359,0,0,0,0,163188,0,
17:21:03,1079934,0,56359,56359,0,0,0,0,172852,0,
17:21:04,1080936,0,56359,56359,0,0,0,0,175132,0,
17:21:05,1081938,0,56359,56359,0,0,0,0,173548,0,
17:21:06,1082941,0,56359,56359,0,0,0,0,175132,0,
17:21:07,1083943,0,56359,56359,0,0,0,0,175132,0,
17:21:08,1084945,0,56359,56359,0,0,0,0,173548,0,
17:21:09,1085947,0,56359,56359,0,0,0,0,175132,0,
17:21:10,1086948,0,56359,56359,0,0,0,0,176716,0,
17:21:11,1087950,0,56359,56359,0,0,0,0,175132,0,
17:21:12,1088951,0,56359,56359,0,0,0,0,175132,0,
17:21:13,1089952,0,56359,56359,0,0,0,0,173200,0,
17:21:14,1090954,0,56359,56359,0,0,0,0,175132,0,
17:21:15,1091955,0,56359,56359,0,0,0,0,174780,0,
17:21:16,1092958,0,56359,56359,0,0,0,0,176724,0,
17:21:17,1093959,0,56359,56359,0,0,0,0,174792,0,
17:21:18,1094961,0,56359,56359,0,0,0,0,176708,0,
17:21:19,1095964,0,56359,56359,0,0,0,0,174784,0,
17:21:20,1096965,0,56359,56359,0,0,0,0,176716,0,
17:21:21,1097968,0,56359,56359,0,0,0,0,167052,0,
17:21:22,1098969,0,56359,56359,0,0,0,0,173548,0,
17:21:23,1099971,0,56359,56359,0,0,0,0,173200,0,
17:21:24,1100973,0,56359,56359,0,0,0,0,174784,0,
17:21:25,1101975,0,56359,56359,0,0,0,0,173548,0,
17:21:26,1102978,0,56359,56359,0,0,0,0,176716,0,
17:21:27,1103979,0,56359,56359,0,0,0,0,173548,0,
17:21:28,1104981,0,56359,56359,0,0,0,0,175132,0,
17:21:29,1105982,0,56359,56359,0,0,0,0,176716,0,
17:21:30,1106985,0,56359,56359,0,0,0,0,165120,0,
17:21:31,1107986,0,56359,56359,0,0,0,0,173200,0,
17:21:32,1108987,0,56359,56359,0,0,0,0,173548,0,
17:21:33,1109988,0,56359,56359,0,0,0,0,175132,0,
17:21:34,1110990,0,56359,56359,0,0,0,0,173200,0,
17:21:35,1111991,0,56359,56359,0,0,0,0,175132,0,
17:21:36,1112992,0,56359,56359,0,0,0,0,173200,0,
17:21:37,1113995,0,56359,56359,0,0,0,0,176716,0,
17:21:38,1114996,0,56359,56359,0,0,0,0,173548,0,
17:21:39,1115998,0,56359,56359,0,0,0,0,176716,0,
17:21:40,1117000,0,56359,56359,0,0,0,0,174784,0,
17:21:41,1118002,0,56359,56359,0,0,0,0,176716,0,
17:21:42,1119003,0,56359,56359,0,0,0,0,176716,0,
17:21:43,1120006,0,56359,56359,0,0,0,0,173548,0,
17:21:44,1121009,0,56359,56359,0,0,0,0,175132,0,
17:21:45,1122011,0,56359,56359,0,0,0,0,174784,0,
17:21:46,1123012,0,56359,56359,0,0,0,0,176716,0,
17:21:47,1124015,0,56359,56359,0,0,0,0,176716,0,
