wall_clock,board_ms,seq,board_drops,pc_gaps,board_bad,board_miss,board_dspmax_us,srv_bad,free_heap,marker,event
19:41:58,313541,0,13732,0,0,0,0,0,174884,0,
19:41:59,314544,0,13733,13733,0,0,0,0,175132,0,
19:42:00,315545,0,13733,13733,0,0,0,0,172852,0,
19:42:01,316547,0,13733,13733,0,0,0,0,175132,0,
19:42:02,317548,0,13733,13733,0,0,0,0,176716,0,
19:42:03,318549,0,13733,13733,0,0,0,0,175132,0,
19:42:04,319551,0,13733,13733,0,0,0,0,173200,0,
19:42:05,320553,0,13733,13733,0,0,0,0,168988,0,
19:42:06,321555,0,13733,13733,0,0,0,0,173548,0,
19:42:07,322557,0,13733,13733,0,0,0,0,174784,0,
19:42:08,323560,0,13733,13733,0,0,0,0,176716,0,
19:42:09,324561,0,13733,13733,0,0,0,0,175132,0,
19:42:10,325563,0,13733,13733,0,0,0,0,175132,0,
19:42:11,326564,0,13733,13733,0,0,0,0,176716,0,
19:42:12,327565,0,13733,13733,0,0,0,0,175132,0,
19:42:13,328567,0,13733,13733,0,0,0,0,173200,0,
19:42:14,329569,0,13733,13733,0,0,0,0,173200,0,
19:42:15,330573,0,13733,13733,0,0,0,0,176716,0,
19:42:16,331575,0,13733,13733,0,0,0,0,175132,0,
19:42:17,332576,0,13733,13733,0,0,0,0,173548,0,
19:42:18,333578,0,13733,13733,0,0,0,0,175132,0,
19:42:19,334579,0,13733,13733,0,0,0,0,176716,0,
19:42:20,335580,0,13733,13733,0,0,0,0,175132,0,
19:42:21,336581,0,13733,13733,0,0,0,0,173548,0,
19:42:22,337584,0,13733,13733,0,0,0,0,171964,0,
19:42:23,338586,0,13733,13733,0,0,0,0,175132,0,
19:42:24,339588,0,13733,13733,0,0,0,0,173548,0,
19:42:25,340590,0,13733,13733,0,0,0,0,173548,0,
19:42:26,341592,0,13733,13733,0,0,0,0,176716,0,
19:42:27,342593,0,13733,13733,0,0,0,0,175132,0,
19:42:28,343595,0,13733,13733,0,0,0,0,176492,0,
19:42:29,344597,0,13733,13733,0,0,0,0,175132,0,
19:42:30,345598,0,13733,13733,0,0,0,0,176716,0,
19:42:31,346599,0,13733,13733,0,0,0,0,175132,0,
19:42:32,347601,0,13733,13733,0,0,0,0,176368,0,
19:42:33,348602,0,13733,13733,0,0,0,0,171964,0,
19:42:34,349603,0,13733,13733,0,0,0,0,176716,0,
19:42:35,350604,0,13733,13733,0,0,0,0,172852,0,
19:42:36,351606,0,13733,13733,0,0,0,0,171964,0,
19:42:37,352609,0,13733,13733,0,0,0,0,173548,0,
19:42:38,353612,0,13733,13733,0,0,0,0,174784,0,
19:42:38,353612,0,13733,13733,0,0,0,0,174784,0,marker
19:42:39,354615,0,13733,13733,0,0,0,0,165760,0,
19:42:40,355616,0,13733,13733,0,0,0,0,173680,0,
19:42:41,356618,0,13733,13733,0,0,0,0,173680,0,
19:42:42,357620,0,13733,13733,0,0,0,0,171748,0,
19:42:43,358622,0,13733,13733,0,0,0,0,172096,0,
19:42:44,359625,0,13733,13733,0,0,0,0,170512,0,
19:42:45,360626,0,13733,13733,0,0,0,0,175264,0,
19:42:46,361627,0,13733,13733,0,0,0,0,172096,0,
19:42:47,362629,0,13733,13733,0,0,0,0,170512,0,
19:42:48,363632,0,13733,13733,0,0,0,0,173332,0,
19:42:49,364633,0,13733,13733,0,0,0,0,170512,0,
19:42:50,365635,0,13733,13733,0,0,0,0,170512,0,
19:42:51,366647,0,13733,13733,0,0,0,0,173332,0,
19:42:52,367648,0,13733,13733,0,0,0,0,175264,0,
19:42:53,368649,0,13733,13733,0,0,0,0,173680,0,
19:42:54,369651,0,13733,13733,0,0,0,0,171748,0,
19:42:55,370653,0,13733,13733,0,0,0,0,170512,0,
19:42:56,371656,0,13733,13733,0,0,0,0,173332,0,
19:42:57,372658,0,13733,13733,0,0,0,0,173332,0,
19:42:58,373660,0,13733,13733,0,0,0,0,175264,0,
19:42:59,374661,0,13733,13733,0,0,0,0,173332,0,
19:43:00,375663,0,13733,13733,0,0,0,0,175264,0,
19:43:01,376664,0,13733,13733,0,0,0,0,173332,0,
19:43:02,377665,0,13733,13733,0,0,0,0,168928,0,
19:43:03,378667,0,13733,13733,0,0,0,0,167344,0,
19:43:04,379669,0,13733,13733,0,0,0,0,171748,0,
19:43:05,380672,0,13733,13733,0,0,0,0,173332,0,
19:43:06,381674,0,13733,13733,0,0,0,0,171748,0,
19:43:07,382677,0,13733,13733,0,0,0,0,170512,0,
19:43:08,383680,0,13733,13733,0,0,0,0,171748,0,
19:43:09,384682,0,13733,13733,0,0,0,0,173332,0,
19:43:10,385685,0,13733,13733,0,0,0,0,175264,0,
19:43:11,386687,0,13733,13733,0,0,0,0,173332,0,
19:43:12,387689,0,13733,13733,0,0,0,0,173680,0,
19:43:13,388717,0,13733,13733,0,0,0,0,173332,0,
19:43:14,389718,0,13733,13733,0,0,0,0,172096,0,
19:43:15,390720,0,13733,13733,0,0,0,0,173680,0,
19:43:16,391722,0,13733,13733,0,0,0,0,175264,0,
19:43:17,392723,0,13733,13733,0,0,0,0,169816,0,
19:43:18,393725,0,13733,13733,0,0,0,0,175264,0,
19:43:19,394726,0,13733,13733,0,0,0,0,175264,0,
19:43:20,395727,0,13733,13733,0,0,0,0,173680,0,
19:43:21,396729,0,13733,13733,0,0,0,0,175264,0,
19:43:22,397730,0,13733,13733,0,0,0,0,173680,0,
19:43:23,398731,0,13733,13733,0,0,0,0,175264,0,
19:43:24,399733,0,13733,13733,0,0,0,0,173680,0,
19:43:25,400734,0,13733,13733,0,0,0,0,175264,0,
19:43:26,401736,0,13733,13733,0,0,0,0,173680,0,
19:43:27,402737,0,13733,13733,0,0,0,0,175264,0,
19:43:28,403738,0,13733,13733,0,0,0,0,175264,0,
19:43:29,404740,0,13733,13733,0,0,0,0,173680,0,
19:43:30,405741,0,13733,13733,0,0,0,0,175264,0,
19:43:31,406743,0,13733,13733,0,0,0,0,170164,0,
19:43:32,407746,0,13733,13733,0,0,0,0,173332,0,
19:43:33,408748,0,13733,13733,0,0,0,0,171748,0,
19:43:34,409751,0,13733,13733,0,0,0,0,173680,0,
19:43:35,410752,0,13733,13733,0,0,0,0,173680,0,
19:43:35,410752,21,13733,13733,0,0,0,0,173680,21,marker
19:43:35,410752,0,13733,13733,0,0,0,0,173680,0,marker
19:43:36,411754,0,13733,13733,0,0,0,0,173680,0,
19:43:37,412755,0,13733,13733,0,0,0,0,173680,0,
19:43:38,413757,0,13733,13733,0,0,0,0,175264,0,
19:43:39,414758,0,13733,13733,0,0,0,0,175264,0,
19:43:40,415761,0,13733,13733,0,0,0,0,173680,0,
19:43:41,416763,0,13733,13733,0,0,0,0,171748,0,
19:43:42,417766,0,13733,13733,0,0,0,0,173332,0,
19:43:43,418768,0,13733,13733,0,0,0,0,175264,0,
19:43:44,419769,0,13733,13733,0,0,0,0,173680,0,
19:43:45,420771,0,13733,13733,0,0,0,0,175264,0,
19:43:45,420771,30,13733,13733,0,0,0,0,175264,30,marker
19:43:46,420771,40,13733,13733,0,0,0,0,175264,40,marker
19:43:46,421772,0,13733,13733,0,0,0,0,175264,0,
19:43:47,422774,0,13733,13733,0,0,0,0,173332,0,
19:43:48,423776,0,13733,13733,0,0,0,0,175264,0,
19:43:49,424777,0,13733,13733,0,0,0,0,173680,0,
19:43:50,425779,0,13733,13733,0,0,0,0,173332,0,
19:43:51,426782,0,13733,13733,0,0,0,0,172096,0,
19:43:52,427785,0,13733,13733,0,0,0,0,173680,0,
19:43:53,428788,0,13733,13733,0,0,0,0,174848,0,
19:43:54,429790,0,13733,13733,0,0,0,0,173332,0,
19:43:55,430793,0,13733,13733,0,0,0,0,175264,0,
19:43:56,431795,0,13733,13733,0,0,0,0,163472,0,
19:43:56,431795,20,13733,13733,0,0,0,0,163472,20,marker
19:43:56,431795,0,13733,13733,0,0,0,0,163472,0,marker
