session,actual_freq,test_freq,window_sec,channel_set,n_harmonics,mean_stim,mean_rest,cohens_d,pval,accuracy
20Hz,20,20,1.0,ch_O1,1,2.489418406546807,1.9991768801783465,0.06648202036772186,4.090428509932952e-09,0.6172839506172839
20Hz,20,20,1.0,occipital_only,1,2.52187555135827,2.1448328171982847,0.08064332608475792,0.009477398310446427,0.48148148148148145
20Hz,20,20,1.0,parietal_only,1,2.2665802789306047,2.04167496397381,0.06860379485055974,0.4536177406493742,0.5308641975308642
20Hz,20,20,1.0,all_8,1,2.549915189851533,2.1760265992172085,0.11627131205681486,2.3032630185445018e-07,0.5308641975308642
20Hz,20,20,1.5,ch_CZ,1,2.010269843814464,1.6302975558432444,0.12248798115943667,7.546364485827229e-08,0.5432098765432098
20Hz,20,20,1.5,ch_PZ,1,1.4047778894500869,2.0089408433078955,-0.22399954398172237,0.9999166959540277,0.4444444444444444
20Hz,20,20,1.5,ch_P4,1,3.125820971299813,1.1757604484980826,0.5415693921338223,1.181009165179189e-37,0.6666666666666666
20Hz,20,20,1.5,ch_T6,1,2.04220873737187,0.9814501063955006,0.3827223120600756,5.237705381832743e-34,0.7160493827160493
20Hz,20,20,1.5,ch_T5,1,1.947273290128178,1.2197132274477518,0.23262165981335012,9.338123726885542e-05,0.5432098765432098
20Hz,20,20,1.5,ch_P3,1,1.7576056166393184,1.8988010787328355,-0.04704593299118091,0.9592105058990258,0.4567901234567901
20Hz,20,20,1.5,ch_O2,1,1.7002603691566092,1.6168140947859633,0.03452324031203129,0.8450919305823463,0.3333333333333333
20Hz,20,20,1.5,ch_O1,1,1.9618930759971291,1.3485750355433044,0.18661966579736747,4.356125548320043e-11,0.7037037037037037
20Hz,20,20,1.5,occipital_only,1,1.8310767225768692,1.4826945651646342,0.15847852314964592,0.00586757516509374,0.49382716049382713
20Hz,20,20,1.5,parietal_only,1,1.7032189320725277,1.7091517164961612,-0.0033190144600288626,0.9619134294072393,0.4074074074074074
20Hz,20,20,1.5,all_8,1,1.9937637242321835,1.4850440488193224,0.376276312251711,5.069577800955605e-15,0.5925925925925926
20Hz,20,20,2.0,ch_CZ,1,2.549370191260084,2.3930482590764353,0.051120895389631556,0.06823276622442835,0.5061728395061729
20Hz,20,20,2.0,ch_PZ,1,2.0129911647164898,2.302414367787132,-0.13130669474965126,0.9997022487085319,0.345679012345679
20Hz,20,20,2.0,ch_P4,1,3.7485754934218187,1.7553886368463423,0.6116990092133782,3.8846108704385305e-18,0.654320987654321
20Hz,20,20,2.0,ch_T6,1,2.574034257096612,1.761311794854334,0.3239436948279941,9.89625901020605e-08,0.6419753086419753
20Hz,20,20,2.0,ch_T5,1,2.377123360862803,1.6611350522557442,0.29931102612272886,0.0005802715662736197,0.5555555555555556
20Hz,20,20,2.0,ch_P3,1,3.6962816893292763,3.0938328625267753,0.18060032917554336,0.238225730251872,0.5185185185185185
20Hz,20,20,2.0,ch_O2,1,3.79299776371205,3.3970861762473987,0.10494885650307471,0.619620594686927,0.48148148148148145
20Hz,20,20,2.0,ch_O1,1,3.498228444587582,2.6222644166269933,0.23418603989177375,1.310126971991715e-07,0.6172839506172839
20Hz,20,20,2.0,occipital_only,1,3.6456131041498163,3.009675296437196,0.20663796621323152,0.021261058965357935,0.5061728395061729
20Hz,20,20,2.0,parietal_only,1,2.6954654049695232,2.35246076085655,0.20194122233442777,0.16645344565405823,0.5061728395061729
20Hz,20,20,2.0,all_8,1,3.0312002956233397,2.3733101957776443,0.450952653945293,1.7968265506353159e-06,0.5432098765432098
16Hz,16,16,0.5,ch_CZ,1,8.102090969599308,5.639657601071716,0.029648027065389472,0.2545753333012314,0.4567901234567901
16Hz,16,16,0.5,ch_PZ,1,6.475284519695666,7.496880353463458,-0.011043761630941793,0.48944339128936104,0.4444444444444444
16Hz,16,16,0.5,ch_P4,1,11.27908074197618,2.686177437741819,0.08479678477260612,4.137789796429968e-54,0.7777777777777778
16Hz,16,16,0.5,ch_T6,1,14.517031924397738,4.161744226585401,0.03419589365201951,4.689967899592976e-18,0.7283950617283951
16Hz,16,16,0.5,ch_T5,1,6.221888236386195,3.5275433042008646,0.0687289465646663,0.012571282888405873,0.5679012345679012
16Hz,16,16,0.5,ch_P3,1,6.62534140547572,7.56548934760796,-0.015498427655318546,0.024856950709805693,0.5308641975308642
16Hz,16,16,0.5,ch_O2,1,25.272255591648893,9.733804156750042,0.019617534654020535,0.7624629527213265,0.49382716049382713
16Hz,16,16,0.5,ch_O1,1,62.86933804783285,6.994001290914173,0.021730080024129107,0.004584723868886447,0.5925925925925926
16Hz,16,16,0.5,occipital_only,1,44.07079681974088,8.363902723832108,0.026544926070091842,0.4767815769268984,0.4691358024691358
16Hz,16,16,0.5,parietal_only,1,6.440838053852526,6.196637668424095,0.006250795349623495,0.012379954226558493,0.5925925925925926
16Hz,16,16,0.5,all_8,1,17.67028892962657,5.975662214791929,0.034486545614191226,7.063187737440162e-06,0.5679012345679012
16Hz,16,16,1.0,ch_CZ,1,2.329229529622266,1.5668960973964237,0.15352922017852452,0.0001757248150474976,0.48148148148148145
16Hz,16,16,1.0,ch_PZ,1,1.8296258491512545,2.194571843350209,-0.07583122498947086,0.0681044406888831,0.5061728395061729
16Hz,16,16,1.0,ch_P4,1,5.24737732501758,1.3463004282575155,0.36110805832478743,1.9835064121833756e-63,0.6666666666666666
16Hz,16,16,1.0,ch_T6,1,3.4345188884011,1.5878545802563842,0.168313188716804,3.661953088381491e-24,0.5679012345679012
16Hz,16,16,1.0,ch_T5,1,2.119228882410763,1.8065048588384722,0.06792246180993036,0.008561791268495753,0.5432098765432098
