wall_clock,board_ms,seq,board_drops,pc_gaps,board_bad,board_miss,board_dspmax_us,srv_bad,free_heap,marker,event
15:28:05,672244,0,24222,0,0,0,0,0,174860,0,
15:28:06,673246,0,24223,24223,0,0,0,0,174760,0,
15:28:07,674249,0,24223,24223,0,0,0,0,173524,0,
15:28:08,675252,0,24223,24223,0,0,0,0,173176,0,
15:28:09,676255,0,24223,24223,0,0,0,0,170896,0,
15:28:10,677257,0,24223,24223,0,0,0,0,176692,0,
15:28:11,678258,0,24223,24223,0,0,0,0,175108,0,
15:28:12,679259,0,24223,24223,0,0,0,0,175108,0,
15:28:13,680261,0,24223,24223,0,0,0,0,176692,0,
15:28:14,681263,0,24223,24223,0,0,0,0,176692,0,
15:28:15,682264,0,24223,24223,0,0,0,0,163156,0,
15:28:16,683265,0,24223,24223,0,0,0,0,171940,0,
15:28:17,684267,0,24223,24223,0,0,0,0,173524,0,
15:28:18,685269,0,24223,24223,0,0,0,0,176692,0,
15:28:19,686270,0,24223,24223,0,0,0,0,175108,0,
15:28:20,687271,0,24223,24223,0,0,0,0,167368,0,
15:28:21,688272,0,24223,24223,0,0,0,0,174760,0,
15:28:22,689274,0,24223,24223,0,0,0,0,173524,0,
15:28:23,690276,0,24223,24223,0,0,0,0,175108,0,
15:28:24,691278,0,24223,24223,0,0,0,0,175108,0,
15:28:25,692279,0,24223,24223,0,0,0,0,176692,0,
15:28:26,693282,0,24223,24223,0,0,0,0,175108,0,
15:28:27,694283,0,24223,24223,0,0,0,0,175108,0,
15:28:28,695284,0,24223,24223,0,0,0,0,173176,0,
15:28:29,696287,0,24223,24223,0,0,0,0,174760,0,
15:28:30,697290,0,24223,24223,0,0,0,0,174760,0,
15:28:31,698293,0,24223,24223,0,0,0,0,173524,0,
15:28:32,699295,0,24223,24223,0,0,0,0,175108,0,
15:28:33,700297,0,24223,24223,0,0,0,0,173524,0,
15:28:34,701300,0,24223,24223,0,0,0,0,172828,0,
15:28:35,702302,0,24223,24223,0,0,0,0,175108,0,
15:28:36,703303,0,24223,24223,0,0,0,0,173524,0,
15:28:37,704305,0,24223,24223,0,0,0,0,173176,0,
15:28:38,705307,0,24223,24223,0,0,0,0,175108,0,
15:28:39,706308,0,24223,24223,0,0,0,0,176692,0,
15:28:40,707310,0,24223,24223,0,0,0,0,174760,0,
15:28:41,708312,0,24223,24223,0,0,0,0,176692,0,
15:28:42,709314,0,24223,24223,0,0,0,0,175108,0,
15:28:43,710315,0,24223,24223,0,0,0,0,176692,0,
15:28:44,711316,0,24223,24223,0,0,0,0,175108,0,
15:28:45,712318,0,24223,24223,0,0,0,0,173524,0,
15:28:46,713321,0,24223,24223,0,0,0,0,173524,0,
15:28:47,714323,0,24223,24223,0,0,0,0,170896,0,
15:28:48,715324,0,24223,24223,0,0,0,0,173524,0,
15:28:49,716326,0,24223,24223,0,0,0,0,175108,0,
15:28:50,717328,0,24223,24223,0,0,0,0,173176,0,
15:28:51,718329,0,24223,24223,0,0,0,0,174760,0,
15:28:52,719330,0,24223,24223,0,0,0,0,174760,0,
15:28:53,720332,0,24223,24223,0,0,0,0,173524,0,
15:28:54,721335,0,24223,24223,0,0,0,0,175108,0,
15:28:55,722336,0,24223,24223,0,0,0,0,173524,0,
15:28:56,723338,0,24223,24223,0,0,0,0,175108,0,
15:28:57,724339,0,24223,24223,0,0,0,0,173524,0,
15:28:58,725342,0,24223,24223,0,0,0,0,175108,0,
15:28:59,726343,0,24223,24223,0,0,0,0,167020,0,
15:29:00,727345,0,24223,24223,0,0,0,0,175108,0,
15:29:01,728346,0,24223,24223,0,0,0,0,175108,0,
15:29:02,729348,0,24223,24223,0,0,0,0,176692,0,
15:29:03,730349,0,24223,24223,0,0,0,0,175108,0,
15:29:04,731350,0,24223,24223,0,0,0,0,173176,0,
15:29:05,732352,0,24223,24223,0,0,0,0,175108,0,
15:29:06,733354,0,24223,24223,0,0,0,0,173524,0,
15:29:07,734355,0,24223,24223,0,0,0,0,175108,0,
15:29:08,735356,0,24223,24223,0,0,0,0,175108,0,
15:29:09,736357,0,24223,24223,0,0,0,0,175108,0,
15:29:10,737360,0,24223,24223,0,0,0,0,176692,0,
15:29:11,738361,0,24223,24223,0,0,0,0,176692,0,
15:29:12,739363,0,24223,24223,0,0,0,0,173524,0,
15:29:13,740365,0,24223,24223,0,0,0,0,170896,0,
15:29:14,741366,0,24223,24223,0,0,0,0,175108,0,
15:29:15,742368,0,24223,24223,0,0,0,0,165436,0,
15:29:16,743369,0,24223,24223,0,0,0,0,175108,0,
15:29:17,744371,0,24223,24223,0,0,0,0,176692,0,
15:29:18,745373,0,24223,24223,0,0,0,0,175108,0,
15:29:19,746375,0,24223,24223,0,0,0,0,175108,0,
15:29:20,747377,0,24223,24223,0,0,0,0,169312,0,
15:29:21,748381,0,24223,24223,0,0,0,0,173716,0,
15:29:22,749383,0,24223,24223,0,0,0,0,176692,0,
15:29:23,750384,0,24223,24223,0,0,0,0,173524,0,
15:29:24,751387,0,24223,24223,0,0,0,0,171940,0,
15:29:25,752390,0,24223,24223,0,0,0,0,173176,0,
15:29:26,753392,0,24223,24223,0,0,0,0,175108,0,
15:29:27,754393,0,24223,24223,0,0,0,0,173524,0,
15:29:28,755395,0,24223,24223,0,0,0,0,171592,0,
15:29:29,756398,0,24223,24223,0,0,0,0,165436,0,
15:29:30,757399,0,24223,24223,0,0,0,0,174760,0,
15:29:31,758401,0,24223,24223,0,0,0,0,173524,0,
15:29:32,759402,0,24223,24223,0,0,0,0,173176,0,
15:29:33,760404,0,24223,24223,0,0,0,0,175108,0,
15:29:34,761406,0,24223,24223,0,0,0,0,176692,0,
15:29:35,762408,0,24223,24223,0,0,0,0,171936,0,
15:29:36,763411,0,24223,24223,0,0,0,0,173524,0,
15:29:37,764413,0,24223,24223,0,0,0,0,175108,0,
15:29:38,765414,0,24223,24223,0,0,0,0,173524,0,
15:29:39,766417,0,24223,24223,0,0,0,0,175108,0,
15:29:40,767419,0,24223,24223,0,0,0,0,173176,0,
15:29:41,768421,0,24223,24223,0,0,0,0,173524,0,
15:29:42,769423,0,24223,24223,0,0,0,0,174760,0,
15:29:43,770426,0,24223,24223,0,0,0,0,174760,0,
